DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2015/06/29,4,51,52,63,37,56,87,37
2015/06/30,1,74,51,71,39,61,91,41
2015/07/01,2,72,62,74,30,62,118,37
2015/07/02,3,75,47,73,37,67,124,33
2015/07/03,1,72,48,69,26,52,104,35
2015/07/04,3,73,44,57,31,46,85,33
2015/07/05,2,42,41,48,16,27,62,25
2015/07/06,4,64,52,64,32,45,99,36
2015/07/07,3,67,46,69,25,58,118,23
2015/07/08,11,69,44,81,26,71,113,41
2015/07/09,13,80,44,71,33,71,121,33
2015/07/10,4,75,39,61,27,63,109,25
2015/07/11,0,41,27,36,19,27,60,18
2015/07/12,1,32,27,29,10,21,53,17
2015/07/13,1,61,46,63,25,63,91,37
2015/07/14,4,62,47,76,35,63,129,34
2015/07/15,1,67,46,64,23,42,99,34
2015/07/16,9,54,38,61,26,50,84,36
2015/07/17,3,47,38,52,12,52,90,22
2015/07/18,3,38,18,54,19,34,66,17
2015/07/19,4,22,13,36,6,22,53,11
2015/07/20,2,44,31,58,19,42,94,22
2015/07/21,3,49,43,52,16,48,80,25
2015/07/22,5,53,32,48,16,33,68,26
2015/07/23,1,52,46,49,24,49,90,25
2015/07/24,6,56,25,69,25,62,92,27
2015/07/25,6,41,19,35,12,25,52,13
2015/07/26,3,13,12,32,6,19,41,10
2015/07/27,8,60,44,60,20,44,74,21
2015/07/28,2,51,37,46,20,38,86,29
2015/07/29,6,32,32,63,15,45,86,29
2015/07/30,3,58,43,51,15,43,90,17
2015/07/31,5,65,49,60,25,57,87,35
2015/08/01,5,32,20,28,7,33,37,18
2015/08/02,0,27,21,30,8,16,42,13
2015/08/03,9,58,53,41,11,38,87,28
2015/08/04,5,58,56,60,21,44,96,32
2015/08/05,3,62,49,49,29,41,82,34
2015/08/06,5,61,40,44,25,42,97,38
2015/08/07,1,79,42,65,32,46,102,40
2015/08/08,3,44,22,33,16,34,47,13
2015/08/09,0,19,10,26,7,20,44,14
2015/08/10,2,43,32,33,13,44,76,15
2015/08/11,5,50,32,40,10,45,69,25
2015/08/12,4,51,43,49,11,40,97,26
2015/08/13,1,64,48,67,31,50,98,29
2015/08/14,3,60,50,48,18,36,92,22
2015/08/15,1,38,18,36,9,24,66,12
2015/08/16,1,28,16,26,7,12,42,8
2015/08/17,4,52,36,39,16,33,78,38
2015/08/18,3,63,36,49,17,53,91,30
2015/08/19,4,52,45,69,24,54,105,27
2015/08/20,6,59,43,62,24,50,100,20
2015/08/21,2,61,52,66,33,52,94,33
2015/08/22,1,39,27,37,9,30,72,21
2015/08/23,2,22,21,24,7,20,39,15
2015/08/24,4,50,47,59,18,43,91,19
2015/08/25,2,59,34,58,16,53,99,32
2015/08/26,3,61,38,65,21,50,90,23
2017/05/02,1,43,26,39,10,33,58,23
2017/05/03,3,51,44,65,17,34,85,59
2017/05/04,6,69,30,56,12,52,81,42
2017/05/05,2,63,40,52,28,37,83,46
2017/05/06,4,22,12,26,10,19,33,26
2017/05/07,6,18,15,25,7,8,28,22
2017/05/08,6,41,31,51,17,31,60,53
2017/05/09,6,49,34,57,20,37,76,59
2017/05/10,7,64,32,53,19,37,84,59
2017/05/11,8,50,29,51,15,31,82,55
2017/05/12,13,75,50,51,20,45,96,48
2017/05/13,12,18,19,24,5,14,38,20
2017/05/14,5,15,7,18,7,13,28,25
2017/05/15,18,55,27,47,21,29,68,37
2017/05/16,17,45,22,42,10,38,61,25
2017/05/17,18,53,23,51,30,60,86,41
2017/05/18,1,58,42,59,22,57,102,55
2017/05/19,6,65,43,56,29,56,83,61
2017/05/20,4,22,12,24,7,21,38,28
2017/05/21,3,11,12,17,5,9,21,12
2017/05/22,3,40,19,30,16,24,54,36
2017/05/23,7,47,21,58,12,26,78,34
2017/05/24,4,43,25,45,13,29,70,26
2017/05/25,4,40,25,40,14,34,61,38
2017/05/26,4,47,31,43,16,25,64,32
2017/05/27,2,20,11,20,6,8,30,15
2017/05/28,1,12,7,14,3,11,21,6
2017/05/29,3,16,14,24,10,16,38,19
2017/05/30,2,40,24,37,11,29,60,29
2017/05/31,8,38,31,32,11,22,55,32
2017/06/01,6,37,41,30,18,22,45,31
2017/06/02,2,53,57,43,18,26,73,17
2017/06/03,2,18,22,22,9,16,35,12
2017/06/04,0,16,4,24,4,12,27,13
2017/06/05,4,40,39,59,15,19,49,29
2017/06/06,3,47,39,53,17,33,58,32
2017/06/07,14,43,32,42,10,28,58,48
2017/06/08,6,39,27,42,11,37,50,45
2017/06/09,8,36,34,40,12,29,51,64
2017/06/10,4,26,17,36,13,20,45,34
2017/06/11,0,16,10,22,7,10,30,13
2017/06/12,5,31,21,33,11,14,36,31
2017/06/13,2,41,21,34,14,25,48,37
2017/06/14,8,30,18,35,9,27,62,29
2017/06/15,2,47,35,37,12,34,78,24
2017/06/16,3,52,19,57,15,33,56,32
2017/06/17,3,24,18,36,14,25,33,18
2017/06/18,2,21,12,30,3,10,32,17
2017/06/19,8,35,26,32,17,38,65,25
2017/06/20,6,48,25,52,21,28,61,31
2017/06/21,8,50,45,55,22,37,74,36
2017/06/22,2,60,42,59,19,43,71,34
2017/06/23,4,47,34,47,29,40,72,29
2017/06/24,6,29,22,13,10,12,23,12
2017/06/25,2,17,19,18,13,12,23,8
2017/06/26,6,56,37,35,25,27,50,23
2017/06/27,14,50,33,27,15,22,46,23
2017/06/28,26,45,30,38,14,29,54,28
2017/06/29,13,60,33,44,10,37,67,32
2017/06/30,7,57,32,45,22,28,61,30
2017/07/01,2,21,15,25,11,16,26,13
2017/07/02,1,14,6,16,4,10,16,7
2017/07/03,10,39,25,38,14,14,45,32
2017/07/04,4,26,24,30,13,17,36,18
2017/07/05,6,29,24,33,7,19,49,22
2017/07/06,12,53,46,37,11,26,61,26
2017/07/07,10,45,46,41,13,20,57,24
2017/07/08,4,23,24,29,11,15,27,25
2017/07/09,14,12,9,18,5,8,31,21
2017/07/10,21,35,17,29,5,17,48,38
2017/07/11,10,39,24,27,16,17,46,24
2017/07/12,8,29,26,29,14,21,39,31
2017/07/13,21,47,37,50,16,49,69,26
2017/07/14,8,39,33,35,21,29,57,24
2017/07/15,4,19,20,17,9,18,31,17
2017/07/16,2,17,10,8,5,9,15,7
2017/07/17,12,37,28,26,11,40,66,26
2017/07/18,3,45,34,27,9,34,42,18
2017/07/19,7,38,26,33,17,27,45,14
2017/07/20,1,41,34,32,11,25,51,35
2017/07/21,1,39,29,39,13,21,48,21
2017/07/22,3,32,18,29,11,20,34,15
2017/07/23,0,14,7,10,5,9,17,6
2017/07/24,7,36,19,21,9,24,36,19
2017/07/25,4,31,29,19,13,27,39,16
2017/07/26,11,51,26,31,15,23,51,32
2017/07/27,5,59,33,40,37,38,70,34
2017/07/28,7,47,24,29,15,24,49,27
2017/07/29,4,17,6,15,8,12,29,20
2017/07/30,2,19,9,8,6,9,14,7
2017/07/31,22,32,23,18,10,30,48,41
2017/08/01,5,41,28,26,21,22,49,32
2017/08/02,6,51,20,33,17,26,46,33
2017/08/03,5,53,43,24,25,22,54,27
2017/08/04,4,68,47,57,36,36,72,19
2017/08/05,2,22,12,13,14,15,24,17
2017/08/06,2,12,13,12,4,14,19,17
2017/08/07,4,42,42,36,18,19,61,18
2017/08/08,4,37,39,31,13,24,50,23
2017/08/09,6,77,62,48,26,59,98,44
2017/08/10,4,27,18,28,11,23,56,15
2017/08/11,6,43,29,28,14,24,54,21
2017/08/12,1,21,16,17,13,14,28,14
2017/08/13,1,16,19,21,12,18,25,16
2017/08/14,17,43,43,53,29,27,78,17
2017/08/15,1,44,30,39,26,25,48,19
2017/08/16,4,52,26,54,32,26,59,28
2017/08/17,3,28,31,62,41,40,80,24
2017/08/18,1,40,36,58,35,24,72,19
2017/08/19,2,22,12,33,20,12,38,13
2017/08/20,1,21,18,24,14,18,20,6
2017/08/21,2,49,28,44,26,43,50,25
2017/08/22,6,45,29,49,20,36,70,16
2017/08/23,9,50,24,41,19,34,54,18
2017/08/24,1,40,26,52,26,37,61,19
2017/08/25,5,38,36,40,17,30,48,20
2017/08/26,0,24,17,18,8,15,23,7
2017/08/27,1,27,17,22,5,15,34,6
2017/08/28,1,53,33,26,9,22,57,8
2017/08/30,3,17,24,9,6,6,26,5
2017/08/31,2,63,49,35,20,18,54,35
2017/09/01,5,48,48,35,16,21,55,23
2017/09/02,1,41,43,35,11,29,54,16
2017/09/03,1,25,25,15,6,9,38,7
2017/09/04,3,41,34,21,12,24,56,19
2017/09/05,0,36,27,24,9,18,43,11
2017/09/06,4,71,57,43,18,43,65,32
2017/09/07,3,73,50,37,27,28,46,24
2017/09/08,13,77,55,38,20,34,63,25
2017/09/09,8,59,37,34,22,26,40,19
2017/09/10,12,37,22,12,10,16,35,14
2017/09/11,3,39,57,35,13,16,53,16
2017/09/12,6,55,60,36,24,23,49,32
2017/09/13,7,52,36,51,32,43,53,29
2017/09/14,6,72,59,43,28,39,59,33
2017/09/15,4,59,41,68,32,31,74,27
2017/09/16,0,26,19,21,10,11,29,10
2017/09/17,3,25,20,16,6,11,28,6
2017/09/18,7,41,43,46,16,27,41,30
2017/09/19,5,74,63,54,18,29,61,30
2017/09/20,4,51,51,33,13,21,47,23
2017/09/21,11,51,42,49,17,25,49,27
2017/09/22,4,58,38,43,20,25,56,30
2017/09/23,2,15,21,14,7,6,22,18
2017/09/24,1,11,17,14,5,8,11,7
2017/09/25,3,37,28,33,10,15,45,32
2017/09/26,8,42,36,31,23,34,43,28
2017/09/27,3,58,59,46,26,37,51,35
2017/09/28,5,48,32,28,23,22,44,26
2017/09/29,2,53,30,39,25,21,53,20
2017/09/30,2,19,22,13,5,18,30,16
2017/10/01,7,17,7,15,4,9,26,19
2017/10/02,4,36,36,60,12,23,67,23
2017/10/03,6,45,35,41,15,19,61,25
2017/10/04,6,31,30,38,12,23,67,23
2017/10/05,0,45,43,42,18,24,59,25
2017/10/06,4,55,47,63,18,35,65,26
2017/10/07,2,16,20,25,7,17,37,14
2017/10/08,1,26,17,18,7,8,31,7
2017/10/09,2,35,41,34,15,35,46,26
2017/10/10,4,56,39,31,15,16,64,25
2017/10/11,7,62,37,33,27,17,49,20
2017/10/12,3,50,38,59,28,19,63,37
2017/10/13,5,50,41,44,17,30,56,23
2017/10/14,3,23,24,17,9,9,25,14
2017/10/15,2,14,10,23,17,9,19,9
2017/10/16,3,39,35,30,14,18,53,29
2017/10/17,4,37,35,31,16,24,43,35
2017/10/18,2,31,28,34,18,30,62,38
2017/10/19,4,57,45,43,15,26,69,35
2017/10/20,3,70,47,43,23,42,64,39
2017/10/21,2,23,24,27,14,8,34,15
2017/10/22,3,19,14,20,12,12,32,15
2017/10/23,7,31,39,21,17,12,56,15
2017/10/24,16,48,43,40,14,30,74,30
2017/10/25,4,49,44,44,17,25,68,37
2017/10/26,3,62,64,55,17,50,57,37
2017/10/27,3,45,44,27,17,22,54,29
