DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2016/09/13,8,62,53,38,19,151,102,77
2016/09/14,11,91,59,49,36,149,108,73
2016/09/15,3,60,35,31,21,111,92,37
2016/09/16,10,56,51,26,19,92,89,41
2016/09/17,0,27,26,12,6,62,54,9
2016/09/18,0,30,23,17,2,71,62,15
2016/09/19,4,78,46,57,26,118,120,33
2016/09/20,5,87,53,60,32,140,134,44
2016/09/21,4,57,57,42,29,144,118,51
2016/09/22,6,55,52,36,20,111,93,39
2016/09/23,8,37,38,29,20,108,82,41
2016/09/24,5,34,38,19,12,65,53,21
2016/09/25,4,38,22,10,5,49,43,17
2016/09/26,1,53,45,33,15,104,74,39
2016/09/27,9,59,59,39,33,164,92,68
2016/09/28,8,79,63,48,26,167,129,59
2016/09/29,6,86,53,43,35,164,97,61
2016/09/30,7,47,52,37,14,140,86,54
2016/10/01,4,34,31,14,14,76,50,31
2016/10/02,2,34,23,16,10,57,34,18
2016/10/03,3,56,52,43,18,114,94,42
2016/10/04,1,52,57,38,25,137,86,50
2016/10/05,12,69,99,45,26,186,103,66
2016/10/06,5,83,83,48,19,166,110,60
2016/10/07,3,62,81,42,18,154,84,46
2016/10/08,2,47,51,21,13,65,65,35
2016/10/09,1,30,35,15,4,40,37,18
2016/10/10,11,66,73,33,10,93,83,58
2016/10/11,4,58,68,37,27,133,81,58
2016/10/12,12,71,79,40,32,149,103,99
2016/10/13,10,63,60,48,18,130,91,56
2016/10/14,9,48,49,45,17,121,116,46
2016/10/15,6,36,39,14,7,77,71,33
2016/10/16,5,32,34,18,10,42,64,25
2016/10/17,9,50,56,43,23,108,88,75
2016/10/18,11,62,45,32,28,132,84,75
2016/10/19,13,79,66,45,27,192,107,85
2016/10/20,15,73,52,43,21,112,91,102
2016/10/21,15,65,60,44,19,120,82,69
2016/10/22,4,43,60,16,18,80,53,27
2016/10/23,1,44,35,22,11,65,59,45
2016/10/24,8,67,47,39,27,122,85,79
2016/10/25,7,72,32,37,27,114,78,83
2016/10/26,7,82,66,49,14,154,118,81
2016/10/27,7,57,47,33,18,143,100,76
2016/10/28,14,80,58,41,25,137,123,88
2016/10/29,4,47,33,16,7,82,57,45
2016/10/30,4,32,29,16,7,56,43,38
2016/10/31,6,45,34,24,14,89,67,65
2017/06/10,0,2,5,0,4,9,4,0
2017/06/11,1,33,32,24,13,52,47,17
2017/06/12,3,60,34,30,16,97,71,30
2017/06/13,3,54,42,39,22,135,91,52
2017/06/14,8,48,42,66,22,126,94,36
2017/06/15,11,58,34,53,18,118,87,46
2017/06/16,6,56,38,39,16,123,90,32
2017/06/17,3,31,39,16,11,65,62,14
2017/06/18,0,26,35,17,8,45,41,14
2017/06/19,2,53,38,39,15,113,91,40
2017/06/20,4,62,57,34,13,125,79,42
2017/06/21,13,63,53,45,21,129,106,64
2017/06/22,6,59,49,44,21,110,80,49
2017/06/23,4,54,57,37,13,117,82,23
2017/06/24,2,41,43,14,12,70,49,7
2017/06/25,4,31,31,12,13,42,54,44
2017/06/26,8,61,47,25,19,93,81,27
2017/06/27,8,65,44,38,23,93,93,37
2017/06/28,10,57,35,36,16,99,86,39
2017/06/29,3,74,64,32,19,103,82,30
2017/06/30,7,58,49,41,16,99,97,55
2017/07/01,1,38,31,21,6,59,48,19
2017/07/02,1,39,38,17,8,45,52,6
2017/07/03,1,59,47,20,14,60,68,32
2017/07/04,6,43,27,31,8,36,68,22
2017/07/05,6,52,43,37,12,88,88,41
2017/07/06,11,63,52,44,15,106,101,46
2017/07/07,12,52,47,31,6,131,84,40
2017/07/08,4,36,33,18,7,62,55,15
2017/07/09,2,25,31,14,4,29,33,21
2017/07/10,5,52,39,34,17,83,67,33
2017/07/11,5,41,42,28,16,104,71,39
2017/07/12,10,62,54,34,20,115,91,42
2017/07/13,9,59,52,42,18,115,88,34
2017/07/14,10,50,35,23,13,103,79,28
2017/07/15,6,46,39,11,11,63,49,18
2017/07/16,1,30,28,9,6,18,39,15
2017/07/17,2,65,52,31,13,83,76,40
