DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2018/12/30,2,12,6,13,3,9,19,11
2018/12/31,0,28,11,10,11,5,34,15
2019/01/01,2,24,13,22,13,16,28,11
2019/01/02,3,19,10,13,5,16,34,13
2019/01/03,2,37,31,11,9,26,46,22
2019/01/04,3,32,13,20,9,25,45,29
2019/01/05,1,18,9,12,8,12,25,18
2019/01/06,1,12,5,7,0,5,21,5
2019/01/07,0,35,10,18,7,19,41,14
2019/01/08,3,48,20,22,12,29,47,21
2019/01/09,4,54,16,23,9,29,37,21
2019/01/10,2,51,23,26,7,33,55,22
2019/01/11,3,50,16,18,12,29,35,14
2019/01/12,4,27,7,16,9,15,26,14
2019/01/13,0,13,6,14,3,9,20,14
2019/01/14,1,32,17,19,5,22,44,17
2019/01/15,4,44,12,19,16,28,60,32
2019/01/16,1,33,21,28,13,21,43,23
2019/01/17,8,42,23,33,19,31,66,20
2019/01/18,4,42,16,19,12,25,48,13
2019/01/19,0,26,14,12,7,15,20,14
2019/01/20,0,18,12,9,4,15,22,10
2019/01/21,1,30,19,21,24,28,45,23
2019/01/22,1,30,22,21,20,33,52,22
2019/01/23,5,38,19,20,15,25,49,24
2019/01/24,5,40,30,30,10,31,51,29
2019/01/25,2,40,23,22,9,25,30,18
2019/01/26,2,27,16,17,6,18,22,19
2019/01/27,1,17,8,9,2,8,16,13
2019/01/28,4,38,21,21,14,25,44,28
2019/01/29,4,33,28,29,8,28,49,23
2019/01/30,2,38,24,14,9,21,31,28
2019/01/31,5,40,30,18,13,33,63,24
2019/02/01,1,35,28,29,16,25,49,28
2019/02/02,3,14,20,15,7,12,36,14
2019/02/03,0,11,6,7,15,10,25,10
2019/02/04,3,27,12,11,14,19,26,23
2019/02/05,2,29,24,31,15,20,42,18
2019/02/06,1,38,23,32,16,31,59,24
2019/02/07,2,33,22,26,10,24,48,28
2019/02/08,3,39,24,17,12,44,42,29
2019/02/09,1,17,11,13,16,14,28,18
2019/02/10,0,14,7,7,11,11,24,12
2019/02/11,1,45,25,23,11,32,43,17
2019/02/12,0,30,25,15,13,27,41,15
2019/02/13,1,42,32,32,10,36,53,25
2019/02/14,8,49,33,25,18,32,50,32
2019/02/15,3,24,18,21,12,26,51,21
2019/02/16,2,25,10,17,10,15,37,15
2019/02/17,0,11,2,13,5,12,24,10
2019/02/18,2,18,13,18,12,15,29,14
2019/02/19,2,31,17,21,12,21,39,23
2019/02/20,4,36,21,28,11,18,46,16
2019/02/21,0,30,18,17,28,36,39,21
2019/02/22,1,30,14,18,11,34,40,15
2019/02/23,0,14,3,9,8,12,22,11
2019/02/24,0,15,7,6,9,14,19,8
2019/02/25,0,24,13,18,16,18,40,17
2019/02/26,1,37,19,22,12,26,46,33
2019/02/27,4,31,20,17,18,26,39,30
2019/02/28,2,21,23,28,20,27,54,29
2019/03/01,3,43,14,25,13,30,56,25
2019/03/02,2,24,15,11,9,13,14,14
2019/03/03,1,15,11,9,7,11,21,14
2019/03/04,3,25,20,13,13,23,38,17
2019/03/05,7,38,28,23,14,23,46,26
2019/03/06,5,44,26,17,15,27,41,13
2019/03/07,3,37,18,23,18,31,39,12
2019/03/08,1,49,38,27,27,39,56,35
2019/03/09,1,17,6,19,7,21,26,10
2019/03/10,2,28,4,16,9,17,18,8
2019/03/11,4,20,17,22,8,14,35,21
2019/03/12,7,39,24,26,10,32,31,27
2019/03/13,4,28,9,18,6,26,30,23
2019/03/14,2,38,22,25,14,38,50,30
2019/03/15,0,39,20,57,10,41,72,21
2019/03/16,1,26,4,24,7,23,29,12
2019/03/17,1,19,7,25,13,15,25,5
2019/03/18,2,40,18,44,12,21,51,17
2019/03/19,1,29,18,28,14,25,47,32
2019/03/20,2,33,22,31,9,29,51,26
2019/03/21,1,25,18,28,11,32,42,17
2019/03/22,5,34,25,30,10,31,51,35
2019/03/23,3,13,7,17,0,16,34,26
2019/03/24,0,20,8,14,5,8,18,24
2019/03/25,3,24,11,33,8,29,43,42
2019/03/26,1,24,17,28,14,35,45,42
2019/03/27,3,30,14,28,15,31,49,27
2019/03/28,2,39,25,17,18,29,28,34
2019/03/29,1,26,10,20,13,31,38,35
2019/03/30,2,16,16,13,8,13,21,23
2019/03/31,0,11,9,10,12,13,20,14
2019/04/01,0,24,25,17,11,16,35,22
2019/04/02,5,38,23,21,9,27,31,35
2019/04/03,5,36,21,22,19,29,37,32
2019/04/04,3,29,17,22,14,26,44,25
