DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2017/08/05,1,3,2,2,1,7,9,3
2017/08/06,0,12,5,3,2,7,13,3
2017/08/07,1,13,7,6,3,17,13,3
2017/08/08,1,7,8,7,3,14,15,1
2017/08/09,0,9,1,9,1,18,19,3
2017/08/10,0,15,9,11,1,11,13,2
2017/08/11,0,8,4,3,3,10,12,1
2017/08/12,0,7,1,4,3,3,11,1
2017/08/13,0,9,3,7,2,8,15,2
2017/08/14,1,12,6,6,2,7,13,2
2017/08/15,0,11,1,3,2,7,14,1
2017/08/16,1,12,8,8,4,9,14,0
2017/08/17,3,15,10,15,1,13,16,4
2017/08/18,0,11,2,14,5,11,20,2
2017/08/19,1,8,5,16,1,13,18,1
2017/08/20,0,8,4,10,4,8,19,2
2017/08/21,0,8,5,7,1,8,17,0
2017/08/22,0,8,4,8,1,8,15,0
2017/08/23,0,15,5,4,1,12,10,2
2017/08/24,0,10,6,8,2,8,14,3
2017/08/25,1,9,3,6,5,9,9,2
2017/08/26,0,9,5,7,0,12,9,0
2017/08/27,0,7,2,7,2,7,9,2
2017/08/28,0,8,4,3,2,11,6,0
2017/08/30,0,5,3,2,3,3,3,2
2017/08/31,2,14,4,8,4,6,19,4
2017/09/01,0,15,3,7,2,12,19,3
2017/09/02,0,12,2,5,1,8,6,1
2017/09/03,0,9,5,3,1,12,13,3
2017/09/04,0,10,5,4,1,11,14,2
2017/09/05,1,18,9,6,4,15,15,2
2017/09/06,1,12,9,4,2,7,16,2
2017/09/07,0,14,11,3,2,4,11,1
2017/09/08,0,12,16,5,0,4,14,1
2017/09/09,1,9,8,4,2,5,9,0
2017/09/10,0,13,15,4,2,2,11,3
2017/09/11,1,17,12,11,3,10,12,3
2017/09/12,2,11,12,7,2,15,18,0
2017/09/13,0,9,13,1,3,10,11,3
2017/09/14,0,15,9,7,4,7,21,2
2017/09/15,0,15,10,26,2,4,39,3
2017/09/16,0,10,4,5,2,7,13,2
2017/09/17,0,16,6,12,1,18,22,3
2017/09/18,1,13,10,9,2,10,15,3
2017/09/19,0,13,5,11,4,14,15,2
2017/09/20,2,16,8,9,1,15,18,7
2017/09/21,0,17,13,9,1,16,26,1
