DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2015/10/12,3,25,13,34,4,37,56,19
2015/10/13,2,44,21,36,14,57,46,19
2015/10/14,1,43,19,31,12,43,55,15
2015/10/15,3,46,19,31,11,46,41,20
2015/10/16,3,49,23,26,8,39,45,17
2015/10/17,2,25,12,9,5,17,24,11
2015/10/18,0,15,6,13,2,17,26,8
2015/10/19,4,55,21,20,3,38,41,15
2015/10/20,6,37,20,26,10,45,53,19
2015/10/21,1,12,5,10,2,5,13,6
2015/10/22,0,6,1,2,0,1,4,2
2015/10/23,15,61,28,26,11,55,57,27
2015/10/24,3,18,14,13,6,20,22,8
2015/10/25,0,16,11,10,3,13,20,12
2015/10/26,6,39,26,22,12,39,46,13
2015/10/27,9,37,13,30,12,50,49,22
2015/10/28,4,47,22,24,12,39,53,10
2015/10/29,2,38,12,23,9,46,56,19
2015/10/30,4,48,17,32,9,49,44,25
2015/10/31,2,19,6,15,4,13,30,8
2015/11/01,1,8,4,16,2,10,33,6
2015/11/02,1,37,21,22,11,37,39,14
2015/11/03,4,45,19,22,4,50,45,14
2015/11/04,3,31,23,28,11,46,52,14
2015/11/05,1,49,18,29,12,48,58,12
2015/11/06,6,43,13,26,7,51,52,21
2015/11/07,0,28,6,16,6,25,37,9
2015/11/08,0,17,6,10,3,17,28,3
2015/11/09,3,36,25,25,7,34,43,23
2015/11/10,6,46,21,27,9,43,52,24
2015/11/11,5,40,21,39,10,39,56,23
2015/11/12,5,54,22,24,7,46,54,18
2015/11/13,3,46,20,31,17,53,40,15
2015/11/14,0,17,5,18,0,11,31,7
2015/11/15,0,18,8,22,1,11,28,5
2015/11/16,1,39,16,52,9,37,59,9
2015/11/17,6,44,22,53,8,46,63,17
2015/11/18,9,69,26,56,17,47,73,12
2015/11/19,3,52,17,50,9,44,69,19
2015/11/20,4,37,24,54,10,37,65,16
2015/11/21,0,19,11,16,2,22,21,3
2015/11/22,1,21,8,24,4,19,35,4
2015/11/23,5,35,30,45,9,45,65,15
2015/11/24,3,51,23,45,12,49,68,21
2015/11/25,4,54,20,34,12,49,52,14
2015/11/26,4,43,28,33,12,50,68,7
2015/11/27,3,41,32,35,8,54,54,14
2015/11/28,2,14,10,18,6,13,27,5
2015/11/29,0,22,21,17,5,15,22,11
2015/11/30,3,40,34,22,7,31,40,13
2015/12/01,3,54,36,43,5,43,71,9
2015/12/02,4,52,24,49,10,44,74,19
2015/12/03,3,46,30,40,7,45,76,13
2015/12/04,2,57,39,40,8,45,51,17
2015/12/05,0,22,26,17,5,18,35,4
2015/12/06,0,13,17,16,3,9,19,13
2015/12/07,2,64,47,43,7,39,52,23
2015/12/08,4,34,40,33,14,33,41,15
2015/12/09,1,52,40,52,7,47,58,23
2015/12/10,6,61,27,43,11,51,55,16
2015/12/11,4,40,35,30,6,43,59,11
2015/12/12,0,23,23,12,2,24,22,9
2015/12/13,1,24,26,14,5,10,24,8
